"ID","Tramite","Campaña","Numero_semanas_por_campaña","EMedia_Tramites_por_semana","EBaja_Tramites_por_semana","EAlta_Tramites_por_semana","EMedia_Tramites_por_campaña","EBaja_Tramites_por_campaña","EAlta_Tramites_por_campaña"
"CHIHUAHUA-DTO-9","ENTREGA_CPV","CAP_2021",13,90,51.5,284.5,1170,669.5,3698.5
"CHIHUAHUA-DTO-9","TOTAL_SOLICITUDES","CAP_2021",13,243,98.5,618.5,3159,1280.5,8040.5
"CIUDAD DE MEXICO-DTO-1","ENTREGA_CPV","CAP_2021",13,346,209.5,376.5,4498,2723.5,4894.5
"CIUDAD DE MEXICO-DTO-1","TOTAL_SOLICITUDES","CAP_2021",13,353,321.5,613,4589,4179.5,7969
"CIUDAD DE MEXICO-DTO-10","ENTREGA_CPV","CAP_2021",13,666,380.5,673,8658,4946.5,8749
"CIUDAD DE MEXICO-DTO-10","TOTAL_SOLICITUDES","CAP_2021",13,563,452.5,1068,7319,5882.5,13884
"CIUDAD DE MEXICO-DTO-11","ENTREGA_CPV","CAP_2021",13,837,508,949.5,10881,6604,12343.5
"CIUDAD DE MEXICO-DTO-11","TOTAL_SOLICITUDES","CAP_2021",13,743,481,1483.5,9659,6253,19285.5
"CIUDAD DE MEXICO-DTO-12","ENTREGA_CPV","CAP_2021",13,1019,569.5,1405.5,13247,7403.5,18271.5
"CIUDAD DE MEXICO-DTO-12","TOTAL_SOLICITUDES","CAP_2021",13,1182,759,1589.5,15366,9867,20663.5
"CIUDAD DE MEXICO-DTO-13","ENTREGA_CPV","CAP_2021",13,628,381,711.5,8164,4953,9249.5
"CIUDAD DE MEXICO-DTO-13","TOTAL_SOLICITUDES","CAP_2021",13,575,542.5,1073.5,7475,7052.5,13955.5
"CIUDAD DE MEXICO-DTO-14","ENTREGA_CPV","CAP_2021",13,369,306,639.5,4797,3978,8313.5
"CIUDAD DE MEXICO-DTO-14","TOTAL_SOLICITUDES","CAP_2021",13,659,462.5,776.5,8567,6012.5,10094.5
"CIUDAD DE MEXICO-DTO-15","ENTREGA_CPV","CAP_2021",13,1466,989.5,1912,19058,12863.5,24856
"CIUDAD DE MEXICO-DTO-15","TOTAL_SOLICITUDES","CAP_2021",13,1624,1174,2669,21112,15262,34697
"CIUDAD DE MEXICO-DTO-16","ENTREGA_CPV","CAP_2021",13,1388,973.5,1644,18044,12655.5,21372
"CIUDAD DE MEXICO-DTO-16","TOTAL_SOLICITUDES","CAP_2021",13,1270,1198,1788.5,16510,15574,23250.5
"CIUDAD DE MEXICO-DTO-17","ENTREGA_CPV","CAP_2021",13,572,406,711,7436,5278,9243
"CIUDAD DE MEXICO-DTO-17","TOTAL_SOLICITUDES","CAP_2021",13,680,570,877,8840,7410,11401
"CIUDAD DE MEXICO-DTO-18","ENTREGA_CPV","CAP_2021",13,936,543.5,1205.5,12168,7065.5,15671.5
"CIUDAD DE MEXICO-DTO-18","TOTAL_SOLICITUDES","CAP_2021",13,864,634.5,1589,11232,8248.5,20657
"CIUDAD DE MEXICO-DTO-19","ENTREGA_CPV","CAP_2021",13,443,202,611,5759,2626,7943
"CIUDAD DE MEXICO-DTO-19","TOTAL_SOLICITUDES","CAP_2021",13,451,299,1290,5863,3887,16770
"CIUDAD DE MEXICO-DTO-2","ENTREGA_CPV","CAP_2021",13,1839,1006.5,2109,23907,13084.5,27417
"CIUDAD DE MEXICO-DTO-2","TOTAL_SOLICITUDES","CAP_2021",13,1650,1293.5,2683,21450,16815.5,34879
"CIUDAD DE MEXICO-DTO-20","ENTREGA_CPV","CAP_2021",13,141,85,179.5,1833,1105,2333.5
"CIUDAD DE MEXICO-DTO-20","TOTAL_SOLICITUDES","CAP_2021",13,207,134,251,2691,1742,3263
"CIUDAD DE MEXICO-DTO-21","ENTREGA_CPV","CAP_2021",13,353,222,413.5,4589,2886,5375.5
"CIUDAD DE MEXICO-DTO-21","TOTAL_SOLICITUDES","CAP_2021",13,307,269.5,723.5,3991,3503.5,9405.5
"CIUDAD DE MEXICO-DTO-22","ENTREGA_CPV","CAP_2021",13,393,231.5,561.5,5109,3009.5,7299.5
"CIUDAD DE MEXICO-DTO-22","TOTAL_SOLICITUDES","CAP_2021",13,421,305.5,1085.5,5473,3971.5,14111.5
"CIUDAD DE MEXICO-DTO-23","ENTREGA_CPV","CAP_2021",13,761,452.5,923,9893,5882.5,11999
"CIUDAD DE MEXICO-DTO-23","TOTAL_SOLICITUDES","CAP_2021",13,716,602,1131,9308,7826,14703
"CIUDAD DE MEXICO-DTO-24","ENTREGA_CPV","CAP_2021",13,1357,811,1581,17641,10543,20553
"CIUDAD DE MEXICO-DTO-24","TOTAL_SOLICITUDES","CAP_2021",13,1223,1088,2145.5,15899,14144,27891.5
"CIUDAD DE MEXICO-DTO-3","ENTREGA_CPV","CAP_2021",13,890,615.5,1022.5,11570,8001.5,13292.5
"CIUDAD DE MEXICO-DTO-3","TOTAL_SOLICITUDES","CAP_2021",13,911,796.5,1373,11843,10354.5,17849
"CIUDAD DE MEXICO-DTO-4","ENTREGA_CPV","CAP_2021",13,659,569,855.5,8567,7397,11121.5
"CIUDAD DE MEXICO-DTO-4","TOTAL_SOLICITUDES","CAP_2021",13,898,605.5,1478.5,11674,7871.5,19220.5
"CIUDAD DE MEXICO-DTO-5","ENTREGA_CPV","CAP_2021",13,582,401.5,761,7566,5219.5,9893
"CIUDAD DE MEXICO-DTO-5","TOTAL_SOLICITUDES","CAP_2021",13,653,570,1028.5,8489,7410,13370.5
"CIUDAD DE MEXICO-DTO-6","ENTREGA_CPV","CAP_2021",13,492,328,549.5,6396,4264,7143.5
"CIUDAD DE MEXICO-DTO-6","TOTAL_SOLICITUDES","CAP_2021",13,489,455,685.5,6357,5915,8911.5
"CIUDAD DE MEXICO-DTO-7","ENTREGA_CPV","CAP_2021",13,569,425.5,819,7397,5531.5,10647
"CIUDAD DE MEXICO-DTO-7","TOTAL_SOLICITUDES","CAP_2021",13,739,591,970,9607,7683,12610
"CIUDAD DE MEXICO-DTO-8","ENTREGA_CPV","CAP_2021",13,501,270.5,601,6513,3516.5,7813
"CIUDAD DE MEXICO-DTO-8","TOTAL_SOLICITUDES","CAP_2021",13,423,371.5,839,5499,4829.5,10907
"CIUDAD DE MEXICO-DTO-9","ENTREGA_CPV","CAP_2021",13,425,298.5,560,5525,3880.5,7280
"CIUDAD DE MEXICO-DTO-9","TOTAL_SOLICITUDES","CAP_2021",13,459,404,873,5967,5252,11349
"COAHUILA-DTO-1","ENTREGA_CPV","CAP_2021",13,307,231.5,705.5,3991,3009.5,9171.5
"COAHUILA-DTO-1","TOTAL_SOLICITUDES","CAP_2021",13,948,226,1312,12324,2938,17056
"COAHUILA-DTO-2","ENTREGA_CPV","CAP_2021",13,95,84,174,1235,1092,2262
"COAHUILA-DTO-2","TOTAL_SOLICITUDES","CAP_2021",13,167,70,991.5,2171,910,12889.5
"COAHUILA-DTO-3","ENTREGA_CPV","CAP_2021",13,293,291.5,508,3809,3789.5,6604
"COAHUILA-DTO-3","TOTAL_SOLICITUDES","CAP_2021",13,692,267.5,1094.5,8996,3477.5,14228.5
"COAHUILA-DTO-4","ENTREGA_CPV","CAP_2021",13,584,507.5,869,7592,6597.5,11297
"COAHUILA-DTO-4","TOTAL_SOLICITUDES","CAP_2021",13,1148,470.5,1424,14924,6116.5,18512
