"ID","Tramite","Campaña","Total_tramites_por_campaña","Numero_semanas_por_campaña","Promedio_tramites_por_semana","Mediana","Desviacion_Estandar","Rango_Intercuantil","Q1","Q3"
"CHIAPAS-DTO-9","TOTAL_SOLICITUDES","CAI_2019",14232,14,1016.57,1023,127.73,118.5,953.5,1072
"CHIAPAS-DTO-9","TOTAL_SOLICITUDES","CAI_2020_2021",23726,23,1031.57,1100,299.82,353,830.5,1183.5
"CHIAPAS-DTO-9","TOTAL_SOLICITUDES","CAP_2018",5228,7,746.86,628,498.03,717.5,464.5,1182
"CHIAPAS-DTO-9","TOTAL_SOLICITUDES","CAP_2018_2019",49568,38,1304.42,1209.5,644.6,141,1135.5,1276.5
"CHIAPAS-DTO-9","TOTAL_SOLICITUDES","CAP_2019_2020",17638,20,881.9,1075,456,486,636.75,1122.75
"CHIAPAS-DTO-9","TOTAL_SOLICITUDES","Proceso Electoral Federal",15607,27,578.04,517,317.32,218.5,392,610.5
"CHIHUAHUA-DTO-1","ENTREGA_CPV","CAI_2017_2018",16012,22,727.82,724,255.71,209.25,626.75,836
"CHIHUAHUA-DTO-1","ENTREGA_CPV","CAI_2018",12843,14,917.36,941,105.27,141.75,859.25,1001
"CHIHUAHUA-DTO-1","ENTREGA_CPV","CAI_2019",9643,14,688.79,778.5,270.39,262.5,596,858.5
"CHIHUAHUA-DTO-1","ENTREGA_CPV","CAI_2020_2021",12700,23,552.17,578,177.46,262.5,417,679.5
"CHIHUAHUA-DTO-1","ENTREGA_CPV","CAP_2018",2625,7,375,286,283.05,341.5,221.5,563
